dataset	bialsites_avg	bialsites_std	sf_avg	sf_std	sxA_avg	sxA_std	sxB_avg	sxB_std	ss_avg	ss_std	successive_ss_avg	successive_ss_std	piA_avg	piA_std	piB_avg	piB_std	pearson_r_pi	thetaA_avg	thetaA_std	thetaB_avg	thetaB_std	pearson_r_theta	DtajA_avg	DtajA_std	DtajB_avg	DtajB_std	divAB_avg	divAB_std	netdivAB_avg	netdivAB_std	minDivAB_avg	minDivAB_std	maxDivAB_avg	maxDivAB_std	Gmin_avg	Gmin_std	Gmax_avg	Gmax_std	FST_avg	FST_std	pearson_r_divAB_netDivAB	pearson_r_divAB_FST	pearson_r_netDivAB_FST	ss_sf	ss_noSf	noSs_sf	noSs_noSf
192	165.49000	18.62874	0.19000	0.70278	80.80000	12.07063	65.56000	11.88892	18.94000	9.30679	1.57000	1.04168	0.02370	0.00493	0.02126	0.00514	0.40951	0.02811	0.00450	0.02382	0.00449	0.29514	-0.64989	0.37821	-0.45887	0.41980	0.02927	0.00572	0.00679	0.00265	0.01515	0.00415	0.04448	0.00835	0.51588	0.08860	1.52551	0.11697	0.13347	0.04201	0.72044	0.26186	0.84557	10.00000	90.00000	0.00000	0.00000
193	213.20000	20.30025	27.68000	7.93332	140.47000	18.36979	44.88000	12.05428	0.17000	0.72187	0.02000	0.14000	0.03831	0.00578	0.01268	0.00416	-0.01198	0.03964	0.00519	0.01270	0.00347	-0.00548	-0.13713	0.33583	-0.02718	0.59096	0.07355	0.00836	0.04806	0.00808	0.06088	0.00824	0.08711	0.00958	0.82693	0.04870	1.18568	0.04937	0.49056	0.05719	0.90762	0.47238	0.79572	6.00000	0.00000	94.00000	0.00000
194	263.15000	23.02276	2.43000	2.05063	129.73000	16.97637	129.99000	15.95399	1.00000	1.20000	0.01000	0.09950	0.03237	0.00477	0.03302	0.00419	0.03118	0.03685	0.00489	0.03692	0.00454	0.01069	-0.49795	0.30644	-0.42368	0.32246	0.05298	0.00514	0.02029	0.00355	0.03914	0.00509	0.06821	0.00589	0.73822	0.05693	1.29036	0.06683	0.24116	0.03436	0.78448	0.33094	0.84159	51.00000	6.00000	37.00000	6.00000
195	222.82000	22.88597	37.65000	8.57015	15.17000	5.57504	170.00000	21.41775	0.00000	0.00000	0.00000	0.00000	0.00422	0.00183	0.04531	0.00672	-0.10321	0.00428	0.00157	0.04792	0.00604	-0.11281	-0.08120	0.79437	-0.22286	0.33747	0.07973	0.01077	0.05496	0.00985	0.06875	0.01069	0.09149	0.01166	0.86077	0.04406	1.14922	0.03757	0.53016	0.05296	0.94987	0.53967	0.77292	0.00000	0.00000	100.00000	0.00000
196	263.43000	28.94314	0.98000	1.59987	93.78000	19.62834	122.41000	21.73389	46.26000	17.55712	3.15000	1.60234	0.04146	0.01028	0.04734	0.00938	0.29165	0.03947	0.00807	0.04754	0.00771	0.19639	0.18890	0.47933	-0.02744	0.38394	0.06598	0.01037	0.02158	0.00585	0.03903	0.00805	0.09305	0.01474	0.59258	0.08819	1.41442	0.11926	0.20065	0.04762	0.65359	0.09745	0.80962	40.00000	60.00000	0.00000	0.00000
197	215.39000	28.53976	12.15000	6.98194	174.01000	27.89390	24.86000	9.87119	4.37000	7.69760	0.60000	1.07703	0.04817	0.00827	0.00875	0.00611	-0.06356	0.05028	0.00763	0.00824	0.00443	-0.04195	-0.17365	0.32164	0.06044	0.84009	0.06407	0.01239	0.03561	0.01047	0.04484	0.01229	0.08351	0.01457	0.69529	0.09703	1.31173	0.10944	0.38703	0.06925	0.91844	0.54947	0.82685	46.00000	0.00000	54.00000	0.00000
198	101.35000	12.32102	19.23000	6.67960	14.70000	5.13323	67.42000	12.83369	0.00000	0.00000	0.00000	0.00000	0.00413	0.00182	0.01790	0.00411	0.03821	0.00414	0.00145	0.01900	0.00362	-0.07398	-0.05545	0.77516	-0.23972	0.46185	0.03926	0.00612	0.02824	0.00631	0.03211	0.00615	0.04758	0.00692	0.81525	0.06354	1.21568	0.07095	0.56537	0.08138	0.93302	0.53744	0.80086	0.00000	0.00000	100.00000	0.00000
199	301.25000	26.58171	23.54000	8.69991	125.62000	22.21431	151.58000	19.04688	0.51000	1.02465	0.02000	0.19900	0.03421	0.00665	0.04114	0.00576	0.02831	0.03555	0.00638	0.04287	0.00541	-0.00935	-0.15292	0.35689	-0.16030	0.33595	0.08974	0.00905	0.05206	0.00874	0.07540	0.00871	0.10549	0.01021	0.83966	0.03298	1.17686	0.04472	0.41422	0.05352	0.87483	0.45645	0.82716	29.00000	0.00000	71.00000	0.00000
200	232.52000	22.87815	44.58000	11.91233	166.80000	20.91746	21.14000	6.84839	0.00000	0.00000	0.00000	0.00000	0.04590	0.00754	0.00589	0.00243	-0.06746	0.04702	0.00590	0.00596	0.00193	-0.04134	-0.10362	0.36659	-0.09252	0.74021	0.09123	0.01300	0.06534	0.01228	0.07938	0.01242	0.10395	0.01383	0.86894	0.03900	1.14175	0.04423	0.56138	0.05886	0.95436	0.57252	0.78861	0.00000	0.00000	100.00000	0.00000
201	358.32000	28.22193	11.05000	5.52879	170.96000	20.51581	173.01000	19.47280	3.30000	2.95466	0.18000	0.51730	0.04648	0.00588	0.04678	0.00607	0.14105	0.04912	0.00602	0.04970	0.00559	0.11394	-0.21352	0.29936	-0.23818	0.32397	0.09037	0.00694	0.04374	0.00618	0.07293	0.00713	0.10828	0.00836	0.80671	0.04353	1.19889	0.04222	0.32501	0.04094	0.76938	0.31949	0.84907	88.00000	0.00000	12.00000	0.00000
